CWE,Total_Count
https://cwe.mitre.org/data/definitions/703.html,41969
https://cwe.mitre.org/data/definitions/78.html,300
https://cwe.mitre.org/data/definitions/259.html,200
https://cwe.mitre.org/data/definitions/400.html,100
